SampleID,qPCR16S
1244P,10913528.46
1245G,697085.5375
1245J,23209987.47
1245K,40679436.39
1245L,12285497.38
1245M,33443375
1245N,1879910.477
1245O,31673367.41
1245P,13502743.35
1246A,66298480.46
1246C,8086627.338
1246D,19620574.96
1246E,3904994.949
1246F,2297713.8
1246G,202050.9855
1246H,19918274.81
1246I,10655088.05
1246J,83070626.98
1246K,185574302.4
1246L,542370514.3
1246M,65740864.35
1247A,68549465.26
1247AA,55006187.44
1247B,174355981.7
1247BB,272170.0383
1247C,56643662.05
1247CC,6002996.003
1247D,6087.752505
1247DD,42560172.22
1247H,12840905.72
1247J,9870764.368
1247K,2134449.507
1247L,8493052.482
1247M,953530.0975
1247N,5940281.436
1247O,142279.118
1247P,5022.812863
1247S,61053.48821
1247T,7658581.101
1247U,11507867.82
1247Z,14055471.04
1249A,720690080.2
1249B,6004.957259
1249F,40623.87163
1249G,365107.2459
1249H,22221800.41
1249L,507609.4022
1249N,1162936.034
1249O,13246154
1249P,16961536.85
1250B,17435420.71
1250D,580523.7955
1250G,93445456.95
1250H,206250961.4
1250I,13463750.99
1251A,36633734.39
1251B,65593393.3
1251C,18243547.18
1251D,30245796.35
1251E,82325679.63
1251F,66440602.33
1251G,53467647.9
1251H,59616483.25
1251I,40774753.7
1251K,552.0075018
1252A,100945221.4
1252AA,436583989.4
1252AAA,72808871.47
1252B,35528355.66
1252BB,112761610.9
1252BBB,118598775.1
1252C,4604155.705
1252CC,69805198.45
1252CCC,73636996.42
1252D,1565022.838
1252DD,37957948.05
1252E,46116713.14
1252EE,98952960.13
1252F,22490124.79
1252FF,17608691.88
1252G,777219.9074
1252GG,23592040.27
1252H,16872685.35
1252HH,2966622.816
1252I,181349.4063
1252II,20235143.5
1252JJ,78175295.1
1252K,38368962.47
1252KK,18779741.47
1252L,27938703.07
1252LL,12918795.76
1252M,6998915.668
1252MM,33831530.17
1252N,148289.7185
1252NN,35052347.09
1252O,1403206.781
1252OO,29561715.51
1252P,33901460.24
1252PP,5727978.804
1252Q,45003515.82
1252QQ,1252244.17
1252RR,4394774.718
1252T,119534108.9
1252TT,26117092.85
1252U,22873954.26
1252UU,56450135.8
1252V,35581273.36
1252VV,150157681.4
1252W,32005415.04
1252WW,80184800
1252X,68139744.44
1252XX,19631953.82
1252Y,148874037
1252YY,71054909.85
1252Z,39140886.48
1252ZZ,39844453.3
1254A,179979710.4
1256C,2805219.423
